path,language,soft_score,normalized,whisper_hyp,cer,cer_reject_reason
data\audios\malayalam\train-00001-of-00088\b5b9741e-e0b9-4e6d-b148-039e03f314eb_1_chunk_4.flac,malayalam,0.6575,ഗോൾ [gold] പ്ലഗ് [plug] ഗോൾഡ് [gold] പ്ലഗ് [plug] ചെയ്‌തിട്ട്,Goal to pledge the...,0.8,CER=0.8000 > 0.7
data\audios\telugu\train-00000-of-00056\e814d460-0752-4ca6-a49d-22f9708f3b77_0_chunk_9.flac,telugu,0.6356,బేసిక్ [basic] ఫస్ట్ [first] నీడ్ [need] ఫస్ట్ [first] ఎయిడ్ [aid] అనేది చేసుకోవాలి కదా డాక్టర్ [doctor] అలా అని రక్తం ఎక్కువ రావడంతో పక్కన ఉన్న మెడికల్ [medical]  షాప్ లో హైడ్రోజన్ [hydrogen] పెరాక్సైడ్ [peroxide] అండ్ [and] కాటన్   తో  ఫస్ట్ [first] ఎయిడ్ [aid] అనేది చేసుకున్న డాక్టర్ [doctor ,1st aid నిక్కురువడంతో పక్కేరున్న మేడికల్ సాప్లో హాదుల్యం పెర్యక్సిడం కాట్టంతోటి 1st aid నిక్కురువడంతో,0.74,CER=0.7400 > 0.7
data\audios\malayalam\train-00001-of-00088\2814749767306213_chunk_40.flac,malayalam,0.5742,പിന്നെ ഇവർ നോക്കുമ്പോൾ ഒരു ബഹളങ്ങളില്ല  [inhaling] [uhh] നല്ല ശാന്തസുന്ദരമായ കര സ്ഥലങ്ങൾ,"फिन्ने इवरी नोकंपो ओरी बहालंकल इल्ला, नलल शादस्ततनम्म करन्स्तालंकल।",0.873,CER=0.8730 > 0.7
data\audios\malayalam\train-00000-of-00088\7dce381b-b661-47e9-a411-c99c6c44b48a_0_chunk_12.flac,malayalam,0.6079,"ആ എ എത്ര സമയം എടുക്കും  മാം[Ma'am]  ടീ[T] സി[C]  കിട്ടാനായിട്ട്‌ 
",S-M-E-R-C-O-M-A-S-T-E-C-I-S-T-I-O-N-I-T-E-R,0.9444,CER=0.9444 > 0.7
data\audios\malayalam\valid-00000-of-00001\2814749767277911_chunk_2.flac,malayalam,0.633,അതവിടെനിന്ന്‌ വന്നെടുക്കാനാണ്‌ ഞാൻ പറഞ്ഞേക്കുന്നത്‌ അസ്യൂസിൻ്റെ റോഗ്‌ [rogue] തന്നെ എടുക്കാനാണ്‌ പറഞ്ഞേക്കുന്നത്‌ കാരണം അതിൻറെ റാമാണെങ്കിലും [uhh]  പ്രോസസറാണെങ്കിലും റൈസിൻ്റെ പ്രോസസറാണെങ്കിലും ഭയങ്കരമായിട്ട്‌ ഇഷ്ടപെട്ടു അങ്ങനെ,"I told him to come from there and take the patient's organ. His RAM, processor and rice processor were very disturbed.",0.8797,CER=0.8797 > 0.7
data\audios\bengali\valid-00000-of-00001\d49d5722-1262-4411-80d5-f185f717f10c_0_chunk_7.flac,bengali,0.5689,ডানপাশে ডানপাশের কোনখানে উপরে নিচে না মাঝখানে  ,Dhanapath এই যে দানিপাসের পন কানে উপরে নিছেনা মাজা কানে,0.8276,CER=0.8276 > 0.7
data\audios\malayalam\valid-00000-of-00001\2814749767248053_chunk_2.flac,malayalam,0.6624,സ്വത്തിനെ രൂപപ്പെടുത്തി നിലനിർത്താൻ വലിയൊരു പങ്കുവഹിച്ചിട്ടുണ്ട് കാരണം കേരളത്തില് എല്ലാ സാംസ്കാരിക അല്ലെങ്കിൽ  ആചാരങ്ങളിലും ഉപയോഗിക്കുന്ന കലകളെല്ലാം,प्रदुष्वतिने रूप विधिती निर्रणदर्थान वरीर पंक वाइचन्ने ।,0.9222,CER=0.9222 > 0.7
data\audios\malayalam\train-00002-of-00088\2814749767113379_chunk_1.flac,malayalam,0.6807,പണ്ടത്തെ കാലത്തൊക്കെ കിണറ്റിന്നു വെള്ളം എടുക്കുന്നത് എങ്ങനെയാന്നുവെച്ചിട്ടുണ്ടെങ്കില്  കപ്പിയും കയറും അങ്ങനെത്തെ കാര്യങ്ങളൊക്കെ ഉപയോഗിച്ചിട്ടാണ് [inhaling] അതായത് കപ്പി അവിടെ കിണറ്റിൻ്റെ ഒരു പിന്നെ സ്ഥലത്ത് ഇങ്ങനെ തൂക്കിയിടും അന്നിട്ട് അതിൽ കയറിട്ടിട്ട് ഒരു കയറിൻ്റെ  അറ്റത്തൊരു ഒരു ബക്കറ്റോ അങ്ങനെ എന്തെങ്കിലും കെട്ടിയിട്ടാണ് വെള്ളം വലിക്കാറ്,The knowledge we have learned in the olden days was that the tap and the tap would be used to change water and expect that. The tap would be nicely hung in the temple and then the tap would be suspended in the sun.,0.9286,CER=0.9286 > 0.7
data\audios\gujarati\train-00000-of-00032\582ee705-b627-4d17-b4bf-aec57babcb1c_0_chunk_2.flac,gujarati,0.5939,હા સર [Sir] હા સાહેબ બોલો ,"1,2 જાયા જાયા આછાય પોલો",0.7647,CER=0.7647 > 0.7
data\audios\marathi\train-00002-of-00075\33c47e86-4a3e-421f-9b5f-398482f8be70_1_chunk_6.flac,marathi,0.7507,<Persistent-noise-start> बरोबर <Persistent-noise-end>,नरवाई,0.9773,CER=0.9773 > 0.7
data\audios\marathi\train-00005-of-00075\562949953978591_chunk_10.flac,marathi,0.5279,<Persistent-noise-start> परंतु <inhaling> कुबोटा [Kubota] टॅक्टरचे <inhaling> काही <noise> पार्टस्‌ [parts] <noise> हे <inhaling> थोडेसे <inhaling> महाग असल्यामुळे <inhaling> शेतकरी <inhaling> या ब्रँडचा टॅक्टर [Tractor] <inhaling> घेण्याचे टाळतात <Persistent-noise-end> ,परुंतु कुबोटा टैक्टर चे काही पाट्स हे थोड़े से महाग असले मुड़े शितकरी या ब्रेंड सा टैक्टर गेने चे तालतात।,0.7214,CER=0.7214 > 0.7
data\audios\gujarati\train-00005-of-00032\3377699720688011_chunk_1.flac,gujarati,0.5149,<Persistent-noise-start> પુસ્તકો એ મારી પ્રિય હોબી [Hobby] છે <inhaling> પુસ્તકો ઉપરાંત આપ સામાયિકોમાં અને <inhaling> જે <stammers> બ્લોગ [Blog] અને કોલમો <noise> આવી છે એ બી ખૂબ જ <inhaling> સુંદર રીતે લખાયેલી હોય છે <noise> <uh-huh> મને ગુજરાત સમાચારની <Persistent-noise-end> ,પુસ્તકો એ મારી પ્રિય હોવી છે પુસ્તકો ઉપ્રાંત સામાઈકોમાં અને જે લોગ અને કોલોમ આવે છે એવ�,0.734,CER=0.7340 > 0.7
